名稱,分類,排定,說明,連結,地址,緯度,經度
Poet House Ari,咖啡廳,9/28,玻璃屋，Ari 最安靜,,"Poet House, Ari, Bangkok",13.7829543,100.5413203
Porcupine Cafe Ari,咖啡廳,9/28,紅磚木屋，插座多,,"Porcupine Cafe, Ari, Bangkok",13.7831126,100.5429357
Pista（Song Wat）,咖啡廳,9/27,開心果奶咖啡,,"Pista Cafe, Song Wat Road, Bangkok",,
Naam 1608,咖啡廳,9/27,寺廟後面河邊秘密咖啡,,"Naam 1608, Talat Noi, Bangkok",13.7334218,100.5118388
Antika Safari,咖啡廳,9/25 選項,Safari World 附近，08:00-20:00 休三,,"Antika Safari Cafe, Khlong Sam Wa, Bangkok",,
BASKET Coffee and Croissant,咖啡廳,9/25 選項,可頌招牌，07:00-17:00 休一,,"BASKET Coffee and Croissant, Hathairat Rd, Bangkok",,
Vintique Cafe and Lifestyle,咖啡廳,9/25 選項,06:00 開，室內 lounge,,"Vintique Cafe, Khlong Sam Wa, Bangkok",,
SIT UNDER TREE Home Roasters,咖啡廳,9/25 選項,自家烘豆，08:00-16:00 休一,,"SIT UNDER TREE Special Coffee, Kubon Rd, Bangkok",,
Botanist Activity Space,咖啡廳,9/25 選項,植物園系，抹茶,,"Botanist Activity Space and Cafe, Samwa Rd, Bangkok",,
The Hope Cafe Nong Chok,咖啡廳,9/25 選項,09:00-23:30,,"The Hope Cafe, Nong Chok, Bangkok",,
Barakat Lunla Land,咖啡廳,9/25 選項,農場咖啡廳,,"Barakat Lunla Land, Nong Chok, Bangkok",,
Tichuca Rooftop Bar,酒吧夜生活,9/25,46 樓 LED 大樹，週五 17:30-01:00,https://www.tichuca.co/,"Tichuca Rooftop Bar, T-One Building, Bangkok",13.7220802,100.5804417
Octave Rooftop,酒吧夜生活,9/25 選項,45-49 樓 360 度,,"Octave Rooftop Lounge Bar, Marriott Sukhumvit",,
Sing Sing Theater,酒吧夜生活,9/25 選項,老上海風夜店,,"Sing Sing Theater, Sukhumvit 45",13.7281338,100.5735064
Rabbit Hole Thonglor,酒吧夜生活,9/25 選項,藏起來的調酒吧,,"Rabbit Hole Bar, Thonglor",13.7298981,100.5811206
Soi Cowboy 牛仔街,酒吧夜生活,9/24,排定 22:30，200 公尺霓虹街，安全,https://www.tripadvisor.com/Attraction_Review-g293916-d2492791-Reviews-Soi_Cowboy-Bangkok.html,"Soi Cowboy, Sukhumvit, Bangkok",13.7370287,100.562157
Nana Plaza,酒吧夜生活,9/24 選項,小猩猩排的，紅燈區綜合體,,"Nana Plaza, Sukhumvit Soi 4",13.7414838,100.5530342
APT 101,酒吧夜生活,9/24 選項,1970 年代紐約公寓風,https://apt101club.com/,"APT 101, 233 Sukhumvit Rd, Bangkok",13.7385325,100.5590861
Havana Social,酒吧夜生活,9/24 選項,電話亭進去的古巴地下酒吧,,"Havana Social, Sukhumvit 11",13.745528,100.5558713
Above Eleven,酒吧夜生活,9/24 選項,33 樓 rooftop,https://aboveeleven.com/,"Above Eleven, Fraser Suites Sukhumvit",13.7455342,100.5564443
Levels Club,酒吧夜生活,9/24 選項,EDM 大型夜店,,"Levels Club and Lounge, Sukhumvit 11",13.7443925,100.5559609
BKK Social Club,酒吧夜生活,9/27 選項,World's 50 Best #49,https://www.the50.com/bars/the-list/bkk-social-club.html,"BKK Social Club, Four Seasons Bangkok",13.7114269,100.5102164
Dry Wave Cocktail Studio,酒吧夜生活,9/27 選項,亞洲 50 大 #4,,"Dry Wave Cocktail Studio, Sathorn",13.7337062,100.580674
Bar Us,酒吧夜生活,9/27 選項,亞洲 50 大 #6,,"Bar Us, Sathorn, Bangkok",13.7255443,100.5694059
Vesper,酒吧夜生活,9/27 選項,007 Vesper Martini,,"Vesper Bar, Silom, Bangkok",13.7270401,100.5334436
Lennon's,酒吧夜生活,選項,黑膠配調酒,,"Lennon's Bar, Rosewood Bangkok",13.7434718,100.5489881
Opium Bar,酒吧夜生活,9/27 選項,亞洲 50 大 #25，前身鴉片館,,"Opium Bar, Potong, Bangkok",13.739215,100.5084784
GOD Bar,酒吧夜生活,選項,教堂造型,,"GOD Bar, Charoen Krung, Bangkok",,
Tep Bar,酒吧夜生活,9/26 選項,泰式樂器現場,,"Tep Bar, Soi Nana, Chinatown Bangkok",13.7396043,100.5143618
Teens of Thailand,酒吧夜生活,9/26 選項,琴酒專門,,"Teens of Thailand, Soi Nana, Bangkok",13.7398344,100.5139091
Asia Today,酒吧夜生活,9/26 選項,蜂蜜調酒,,"Asia Today Bar, Soi Nana, Bangkok",13.7398355,100.5141429
Sky Bar lebua,酒吧夜生活,選項,醉後大丈夫 2，63 樓,https://lebua.com/restaurants-bars/sky-bar/,"Sky Bar, lebua State Tower, Bangkok",13.7212222,100.5170726
RCA Royal City Avenue,酒吧夜生活,9/27 選項,17 間大型夜店一條路,https://royalcityavenue.com/clubs,"Royal City Avenue, Bangkok",13.7511319,100.5758157
Brick Bar Khao San,酒吧夜生活,9/26 選項,live band,,"Brick Bar, Khao San Road",13.7585971,100.4984729
CentralWorld,商場購物,9/24,KanonSiam + Chago,https://www.centralworld.co.th/,"CentralWorld, Bangkok",13.7465769,100.5390414
ICONSIAM,商場購物,9/27,河景旗艦，水舞秀 18:30/20:00,https://www.iconsiam.com/en,"ICONSIAM, Bangkok",13.7268227,100.510294
Siam Paragon,商場購物,9/27 選項,SEA LIFE 水族館，美食街,https://www.siamparagon.co.th/,"Siam Paragon, Bangkok",13.7467785,100.534954
Siam Discovery,商場購物,9/27 選項,設計選物百貨,https://www.siamdiscovery.co.th/,"Siam Discovery, Bangkok",13.7466866,100.5315293
Siam Square Soi 7（Carnival）,商場購物,9/25 選項,泰國本土潮牌集中地,,"Carnival Siam Square Soi 7, Bangkok",,
Gaysorn Amarin,商場購物,9/27 選項,LV The Place,,"Gaysorn Amarin, Bangkok",13.743512,100.5412971
EmQuartier,商場購物,備選,40 公尺室內瀑布,,"EmQuartier, Bangkok",13.7319633,100.5696359
EmSphere,商場購物,備選,市中心 IKEA、8-10 樓酒吧,,"EmSphere, Bangkok",13.7325129,100.5660757
Dusit Central Park,商場購物,備選,泰國最大屋頂花園,https://dusitcentralpark.com/,"Dusit Central Park, Bangkok",13.7283196,100.5378142
Mega Bangna,商場購物,不建議,離市區 35-40 分,,"Mega Bangna, Bang Phli",13.6338393,100.6806355
Platinum Fashion Mall 水門,商場購物,9/28 選項,服裝批發,,"Platinum Fashion Mall, Bangkok",13.7500065,100.5393912
Fashion Island,商場購物,9/25 選項,Safari World 附近，溜冰、雷射槍戰,,"Fashion Island, Ram Inthra, Bangkok",13.8242144,100.6770299
Or Tor Kor 市場,商場購物,未排,泰國最好的水果市場,,"Or Tor Kor Market, Bangkok",13.7971301,100.5475746
Health Land Asoke,按摩健身,9/24 選項,09:00-23:00,,"Health Land Spa Massage Asoke, Bangkok",13.7410877,100.5609182
Let's Relax EmQuartier,按摩健身,9/24 選項,10:00-22:00,,"Let's Relax Spa EmQuartier, Bangkok",,
Perception Blind Massage Sathorn,按摩健身,選項,視障按摩師，450 銖/小時,https://www.perceptionblindmassage.com/,"Perception Blind Massage, Sathorn Soi 8, Bangkok",13.7225585,100.5313694
Wat Pho 按摩學校,按摩健身,9/26 選項,30 分 480 銖,https://watpomassage.com/en,"Wat Pho Thai Traditional Massage School, Bangkok",13.7465966,100.4941083
Divana Nurture Spa,按摩健身,選項,雙人 SPA,https://www.divanaspa.com/,"Divana Nurture Spa, Sukhumvit 11",,
RealGYM Safari（Open Air）,按摩健身,9/25 選項,半戶外健身房，07:00-23:00,https://www.realgymth.com/branch/,"RealGYM Safari, Bang Chan, Khlong Sam Wa",,
TC Muay Thai School,按摩健身,9/25 選項,有中文教練,https://tcmuaythaibangkok.com/,"TC Muay Thai, Nawamin 74, Bangkok",,
ARAH Ice Bath and Sauna,按摩健身,未排,890 銖 3 小時，有泳池,,"ARAH Ice Bath Sauna, Sukhumvit 49",,
